item_no,task_id,domain,context,question,gold_standard,expert_verdict (VIOLATION/COMPLIANT),gold_standard_correct (Y/N),comments
1,TASK-GMP_DEVIATION-3F7A2CD6,gmp_deviation,"At NovaBio Inc., on January 10, 2023, during the release testing of a batch of API-1234, an Out-of-Specification (OOS) result was observed for the purity test, which was 99.2% against the specified limit of 99.5%. The batch was manufactured on December 15, 2022, by a qualified production team and all other test parameters were within specifications. The investigation conducted by the Quality Assurance team revealed that the OOS result was due to an aberrant chromatographic peak that was identified as a known impurity, which was below its own specification limit. The impurity was caused by a vendor-supplied raw material that had an unusually high level of this impurity, which was still within its certified specifications. Further investigation found that the analytical method used for the purity test had not been fully validated for the specific raw material lot used, but the method had been validated for the general material type.",What should be the batch disposition decision based on the findings of the investigation and in compliance with regulatory requirements?,"The batch can be released as the OOS result is attributed to an aberrant raw material and the impurity level is within its own specifications, in compliance with 21 CFR 211.165(e), which states that an OOS result may be invalid if it is due to an error in the measurement system, and 21 CFR 211.192, which requires a thorough investigation and documentation of any discrepancy found, but does not necessitate rejection if the cause is an unusual raw material variability that does not impact product quality or safety, thus allowing for a science-driven, fact-based disposition decision.",,,
2,TASK-INFORMED_CONSENT-5A85259E,informed_consent,"At NovaBio Inc., the clinical research team is conducting a Phase III trial for a new oncology treatment, with 250 subjects enrolled. The study utilizes a legacy Electronic Data Capture (EDC) system, version 3.1, which is running in read-only mode for backwards compatibility with an older protocol management system. Recently, a protocol amendment was approved to add a non-invasive, web-based patient-reported outcome (PRO) questionnaire to assess treatment efficacy, starting 6 months after the initial treatment. The IRB waived the requirement for re-consent under 45 CFR 46.116, citing that the new questionnaire is of no more than minimal risk and does not affect the subject's rights or welfare. The research team is diligent about logging all deviations, including a recent instance where a subjects' consent form was not uploaded to the EDC system within the required 24-hour window, but an audit trail shows that the delay was due to an unexpected network outage and the document was properly timestamped and filed as soon as the system came back online. The study's last subject visit is scheduled for 2 years after initial treatment, but the protocol now includes an addendum for a sample repository, aiming to collect and store biosamples for future research, to be implemented 3 years after the initial treatment. Subjects will not be contacted again after their last visit unless this new repository addendum requires their re-consent.","Is re-consent of the subjects required for the addition of the sample repository to the study protocol, given that their last study visit has either already occurred or will occur before the repository implementation, and considering the nature of the changes and the IRB's previous waiver under 45 CFR 46.116?","Re-consent is required under 21 CFR 50.25 and ICH E6(R2) §4.8.2 because the sample repository addendum constitutes a new research activity that goes beyond the original consent, even though subjects have completed or will complete their last study visit. The IRB's waiver under 45 CFR 46.116 for the PRO questionnaire does not apply to this new addition. The Red Herring - the legacy EDC system and the properly handled deviation for the delayed consent form upload - is fully compliant and does not impact the requirement for re-consent for the sample repository addendum.",,,
3,TASK-GMP_DEVIATION-64F1C831,gmp_deviation,"At NovaBio Inc., a batch of 5000 vials of their API, coded NBX-101, passed all quality control specifications on February 10, 2023, when tested by Senior Analyst, Rachel Lee, using the validated HPLC system, Waters 2695. However, during a subsequent internal audit on March 15, 2023, it was discovered that the HPLC system's calibration had lapsed by 3 days, as the last calibration was due on February 7, 2023, but was not performed until February 10, 2023, after the batch testing. The equipment's vendor manual and the company's SOP state that calibration must be performed every 30 days, and the system cannot be used for GMP testing if calibration is overdue. Despite the procedural non-compliance, the test results showed the batch was within all specified limits. The batch's Certificate of Analysis was signed by the QC Manager, indicating its release for further processing.","Should the batch of NBX-101 API, which met all quality specifications, be released for use in further manufacturing based on the given circumstances?","No, the batch should not be released because the use of the HPLC system for testing while its calibration was lapsed constitutes a significant procedural non-compliance. According to 21 CFR 211.160(b), laboratory controls shall include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures to ensure that components, drug product containers, closures, packaging, labeling, in-process materials, and drug products conform to appropriate standards of identity, strength, quality, and purity. Additionally, 21 CFR 211.68(a) requires that automatic, mechanical, or electronic equipment be calibrated and inspected at suitable intervals to ensure proper performance, implying that failure to maintain calibration within specified intervals invalidates test results obtained during the period of non-compliance. Therefore, despite passing quality control tests, the batch must be rejected due to the non-compliant state of the testing equipment during analysis.",,,
4,TASK-GCP_DEVIATION-B7CC3DB8,gcp_deviation,"At NovaBio Inc., a phase 3 clinical trial for a new oncology treatment is underway. On February 10, 2023, the study coordinator, under the direction of the principal investigator, initiated a mid-study protocol amendment to update the patient informed consent form to reflect new safety information, which was prospectively approved by the IRB/IEC on March 1, 2023. The amendment changed the consent form version from 1.0 to 1.1 and was implemented immediately after IRB/IEC approval. However, due to an administrative oversight, 15 patients who were enrolled after the IRB/IEC approval but before the amended consent form was fully implemented in the electronic data capture system (EDC) used by the site (NovaBio's in-house EDC system, ClinTrak), were inadvertently enrolled using the old version 1.0 of the consent form between March 2 and March 15, 2023. The ClinTrak system flags such deviations for Sponsor review. Given that all patients affected by this deviation were eventually re-consented with the updated form version 1.1 within 24 hours of being enrolled, and their participation in the study was not affected, NovaBio Inc. is considering how to proceed with reporting this deviation to the IRB/IEC and regulatory authorities.","Does this deviation, involving the use of an outdated informed consent form for 15 patients but with subsequent re-consent within 24 hours, need to be reported to the IRB/IEC as a protocol deviation according to ICH E6(R2) and 21 CFR regulations, given the circumstances and actions taken?","According to ICH E6(R2) §4.8.2, any deviation from the protocol that could affect the safety of the subjects or the validity and integrity of the data should be documented and reported to the IRB/IEC. Additionally, 21 CFR 50.25 requires that no investigator may involve a human being as a subject in research covered by these regulations unless the investigator has obtained the legally effective informed consent of the subject or the subject's legally authorized representative. Since the patients were initially enrolled with an outdated consent form but were re-consented promptly, the key issue is whether this action constitutes a deviation that impacts the validity of the data or subject safety, necessitating a report to the IRB/IEC. Notably, ICH E6(R2) §4.8.3 emphasizes the importance of prompt reporting of such deviations. Moreover, FDA 21 CFR 11.10(e) specifies requirements for the use of electronic records, implying that any deviation involving an electronic system like ClinTrak should be scrutinized under these regulations. Thus, the correct answer hinges on understanding that despite the quick re-consent, the initial use of an outdated consent form constitutes a significant deviation because it affects the informed consent process, a critical ethical and regulatory requirement, thereby necessitating a report to the IRB/IEC as per ICH E6(R2) §4.8.2 and 21 CFR 50.25.",,,
5,TASK-INFORMED_CONSENT-2C4BB344,informed_consent,"At NovaBio Inc., a protocol amendment was made to an ongoing study, adding a non-invasive questionnaire to be completed by subjects at their next scheduled visit, which is 6 months after their last visit. The study utilizes the Medidata Rave EDC system version 2019.1.0 and has a deviation log entry for a delayed timestamp due to a network issue, which was properly handled according to SOP-DEV-001. The amendment was approved by the IRB on February 10, 2023, but the revised informed consent form was not re-approved until March 15, 2023. Meanwhile, on February 20, 2023, 20 subjects who had completed their last study visit had their samples transferred to a repository for potential future use, with documentation indicating that the transfer was done per the original consent. The study team, in an effort to be cautious, obtained re-consent from 15 of the ongoing subjects before the questionnaire was administered, but they did not re-consent the 20 subjects whose samples were transferred, reasoning that it was for a condition covered under the original consent and not requiring new consent according to their interpretation of 45 CFR 46.116. However, an auditor noted that while reviewing the case report forms, the system-to-system data integrity checks between Medidata Rave and the repository's database system showed discrepancies in 5 cases, which seemed insignificant given the legacy system used for the repository was correctly running in read-only mode.","Does the failure to obtain re-consent from the 20 subjects whose samples were transferred to the repository constitute a regulatory violation, given the context and the specific details of the protocol amendment and the systems in use?","The failure to obtain re-consent from the 20 subjects whose samples were transferred to the repository does indeed constitute a regulatory violation, specifically under 45 CFR 46.116, because the secondary use of the samples, even if under the original consent for the study, requires re-consent if it involves a new intention of use not originally disclosed, and the addition of the questionnaire could imply such a new intention. The red herring of the delayed timestamp and the transfer of samples under the original consent might distract, but the critical issue is the lack of re-consent for a use that could be considered outside the original scope. This is not about the amendment itself or the timing of IRB approval and informed consent form re-approval but about the secondary use of samples and the need for re-consent under specific conditions of 45 CFR 46.",,,
6,TASK-GMP_DEVIATION-4DA8FC1D,gmp_deviation,"On February 10, 2023, NovaBio Inc. completed the manufacturing of batch NB-1234 of its experimental vaccine, with a total of 10,000 vials. During the final testing stage, one vial out of 10 tested vials was found to have an out-of-specification (OOS) result for pH, which was 5.5 instead of the specified range of 6.0-7.0. However, the investigation under 21 CFR 211.192 revealed that the OOS result was due to an error in the testing procedure itself, specifically the use of an uncalibrated pH meter. The investigation found that if the pH meter had been properly calibrated, the pH of all tested vials, including the one that initially failed, would have been within the specified range. No other deviations or issues were found during the batch manufacturing process.",What is the appropriate disposition for batch NB-1234 based on the findings of the investigation?,"The batch is releasable because the initial OOS result was caused by a testing error and not a manufacturing issue, and the investigation demonstrated that the batch conformed to specifications when the proper testing procedure was followed, as specified in 21 CFR 211.165, which states that a batch shall be rejected if it fails to meet established specifications, but also allows for retesting and batch release if a thorough investigation attributes the OOS result to an error in the testing process itself.",,,
7,TASK-INFORMED_CONSENT-EC4029E1,informed_consent,"At NovaBio Inc., a phase III clinical trial for a new oncology treatment (NBIO-101) used a legacy electronic data capture (EDC) system, ClinData v7.2, in read-only mode for historical data, alongside a new EDC system, eClinical v10.5, for active data collection. The study involved 250 subjects across 15 sites. Recently, a minor protocol amendment (NBIO-101-AM04) added a non-invasive, web-based questionnaire to collect patient-reported outcomes, which was deemed to have no significant impact on subject risk or benefits. The amendment was approved by the IRB on February 10, 2023. However, due to an IT resource constraint, the updated informed consent form (ICF) was not uploaded to the eClinical system until February 22, 2023, although all site personnel were notified of the change via email on February 12, 2023. Meanwhile, a separate issue was noted where a site had mistakenly left a window open on the legacy ClinData system, showing a 'Last Updated' timestamp of January 15, 2023, for a subject's demographics, but this was correctly logged as a 'view-only' access in the audit trail. All new enrollments from February 10, 2023, onward used the updated ICF. As part of quality control, the study monitor checked that all re-consents were properly documented, but overlooked verifying the exact timing of ICF updates in the system.","Does the delay in uploading the updated ICF to the eClinical system until February 22, 2023, after the IRB approval on February 10, 2023, constitute a violation of informed consent regulations, given that all new subjects were consented with the updated form and site personnel were informed of the changes?","The correct answer hinges on 21 CFR 50.25 and the requirement that 'no investigator may involve a human being as a subject in clinical research unless the investigator has obtained the legally effective informed consent of the subject or the subject's legally authorized representative.' The key violation here is not the delay in uploading the ICF or the legacy system's 'Last Updated' timestamp, which might initially draw attention, but rather the failure to ensure that the updated ICF was available in the system for use at the time of IRB approval for new enrollments, which could have started immediately after February 10, 2023. The red herring of the legacy system showing an old timestamp is compliant because it was in read-only mode and properly logged. The regulatory provision that applies here is the principle that informed consent must be obtained using an IRB-approved ICF, emphasizing the importance of system and process integrity to ensure compliance with informed consent regulations.",,,
8,TASK-21CFR11-54267513,21cfr11,"At NovaBio Inc., the laboratory information management system (LIMS), version 8.2, was validated for audit trail completeness during its initial deployment in 2018. Recently, the internal audit team reviewed a 200-record sample of the audit trail and found zero gaps, which seemed to confirm the system's integrity. However, the LIMS processes approximately 5,000 entries daily, with the bulk being automated batch import jobs and scheduled calculation updates that run through a service account, bypassing the audit trigger. The service account was set up to improve system efficiency, as recommended by the LIMS vendor. The IT team regularly reviews the system logs to ensure proper functioning, and all operator-initiated changes are captured in the audit trail. The system was last updated in 2020 to comply with the latest security patches, and it has been operating smoothly since then, with no reported errors or deviations. The internal audit team also verified that all deviations, including one instance where a user accidentally entered an incorrect value, which was promptly corrected and documented, were properly handled and recorded.","Does the current configuration of NovaBio Inc.'s LIMS, which captures all operator-initiated changes but bypasses the audit trigger for automated batch import jobs and scheduled calculation updates, meet the requirements for audit trails as specified by 21 CFR Part 11?","The obligation to capture all changes to electronic records, as required by 21 CFR 11.10(e), covers not only manual operator entries but also automated or system-initiated changes, such as those resulting from batch jobs. The fact that the LIMS was validated for audit trail completeness at deployment and that a recent internal audit found no gaps in a sample of the audit trail does not compensate for the lack of audit trails for system-initiated changes. The bypassing of the audit trigger for automated processes constitutes a violation of 21 CFR 11.10(e), despite the compliant handling of deviations and the efficient system operation, because it fails to provide a complete record of all changes to electronic records, including those made by the system itself.",,,
9,TASK-21CFR11-7AEE93D0,21cfr11,"NovaBio Inc. implemented an electronic laboratory information management system (LIMS) named 'LabGenius' in 2020. The system has been generating time-stamped audit trails for all user-initiated changes to electronic records. The company's quality assurance team reviews these audit trails quarterly, focusing on changes made by the research and development staff. However, the review process only examines user IDs and the date of changes, without considering the reason for the changes or any system-initiated modifications, such as automated data backups or software updates. NovaBio Inc. assumes that having audit trails is sufficient for compliance with regulatory requirements.","Is NovaBio Inc.'s current practice of reviewing audit trails from the LabGenius system, as described, compliant with the requirements for electronic records under 21 CFR Part 11?","According to 21 CFR 11.10(e), the regulation requires that audit trails be used to capture all changes to electronic records, including both user-initiated and system-initiated changes, and that they must be reviewed to detect and document any invalid or altered records. This means that the audit trail must capture not just the user ID and date, but also the reason for the change. Therefore, NovaBio Inc.'s practice does not meet the regulatory requirements because it fails to capture the reason for changes and system-initiated modifications, as mandated by 21 CFR 11.10(e).",,,
10,TASK-GCP_DEVIATION-CB8646A7,gcp_deviation,"At NovaBio Inc., a Phase III clinical trial for a new oncology treatment is underway, using the Medidata Rave EDC system for data collection. On February 10, 2023, the study coordinator, Jane Smith, noticed that 15 out of 250 patients (6%) had inadvertently received a non-protocol-specified concomitant medication due to a miscommunication with the site pharmacy. The study protocol (Version 2.0, dated January 2022) includes a pre-specified exception for concomitant medication use, as outlined in Appendix 5. However, this exception only applies to prospective protocol deviations approved by the IRB/IEC. The deviation was discovered during a routine monitoring visit on February 15, 2023, and was not pre-approved. The study team is now debating whether to report this deviation to the IRB/IEC as a major or minor protocol deviation.","Is the NovaBio Inc. study team obligated to report this concomitant medication deviation to the IRB/IEC as a major protocol deviation, despite it being below the 20% threshold for patient affectedness, and should it be reported within the 24-hour timeframe required for urgent safety issues?","According to ICH E6(R2) §4.8.2, the deviation should be reported as a major protocol deviation because it was not pre-approved and affects the integrity of the trial, even though it falls below the 20% threshold. Additionally, 21 CFR 11.10(e) and ICH E6(R2) §5.18.2 require that any deviation from the protocol that could affect the safety of the subjects or the validity and integrity of the data should be reported to the IRB/IEC, regardless of whether it is considered minor or major. The pre-specified exception for concomitant medication use in the protocol does not apply in this case, as the deviation was discovered retrospectively and was not pre-approved by the IRB/IEC.",,,
